Date,Temperature,Fuel_Price
11/9/2012,61.24,3.314
11/16/2012,52.92,3.252
11/23/2012,56.23,3.211
11/30/2012,52.34,3.207
12/7/2012,64.12,3.198
12/14/2012,48.89,3.168
12/21/2012,56.02,3.098
12/28/2012,44.79,3.108
1/4/2013,41.73,3.161
1/11/2013,50.32,3.243
1/18/2013,42.92,3.237
1/25/2013,53.37,3.227
2/1/2013,56.46,3.244
2/8/2013,56.67,3.417
2/15/2013,49.66,3.475
2/22/2013,50.25,3.597
3/1/2013,48.01,3.711
3/8/2013,50.81,3.658
3/15/2013,55.33,3.622
3/22/2013,63.42,3.611
3/29/2013,51,3.606
4/5/2013,58.59,3.583
4/12/2013,62.72,3.529
4/19/2013,67.1,3.451
4/26/2013,59.23,3.417
5/3/2013,66.66,3.386
5/10/2013,63.9,3.392
5/17/2013,69.53,3.454
5/24/2013,77.19,3.494
5/31/2013,78.02,3.466
6/7/2013,76.44,3.439
6/14/2013,79.86,3.431
6/21/2013,81.35,3.479
6/28/2013,83.94,3.495
7/5/2013,79.85,3.422
7/12/2013,83.12,3.4
7/19/2013,79.26,3.556
7/26/2013,81.54,3.62
2/5/2010,40.19,2.572
2/12/2010,38.49,2.548
2/19/2010,39.69,2.514
2/26/2010,46.1,2.561
3/5/2010,47.17,2.625
3/12/2010,57.56,2.667
3/19/2010,54.52,2.72
3/26/2010,51.26,2.732
4/2/2010,63.27,2.719
4/9/2010,65.41,2.77
4/16/2010,68.07,2.808
4/23/2010,65.11,2.795
4/30/2010,66.98,2.78
5/7/2010,71.28,2.835
5/14/2010,73.31,2.854
5/21/2010,74.83,2.826
5/28/2010,81.13,2.759
6/4/2010,81.81,2.705
6/11/2010,83.4,2.668
6/18/2010,85.81,2.637
6/25/2010,86.26,2.653
7/2/2010,82.74,2.669
7/9/2010,82.59,2.642
7/16/2010,85.32,2.623
7/23/2010,87.66,2.608
7/30/2010,83.49,2.64
8/6/2010,89.53,2.627
8/13/2010,89.05,2.692
8/20/2010,88.7,2.664
8/27/2010,87.12,2.619
9/3/2010,81.83,2.577
9/10/2010,79.09,2.565
9/17/2010,82.05,2.582
9/24/2010,81.79,2.624
10/1/2010,69.24,2.603
10/8/2010,63.19,2.633
10/15/2010,65.8,2.72
10/22/2010,68.5,2.725
10/29/2010,66.24,2.716
11/5/2010,57.85,2.689
11/12/2010,59.69,2.728
11/19/2010,50.81,2.771
11/26/2010,62.98,2.735
12/3/2010,49.33,2.708
12/10/2010,45.5,2.843
12/17/2010,47.55,2.869
12/24/2010,49.97,2.886
12/31/2010,47.3,2.943
1/7/2011,44.69,2.976
1/14/2011,33.02,2.983
1/21/2011,41.4,3.016
1/28/2011,42.83,3.01
2/4/2011,38.25,2.989
2/11/2011,33.19,3.022
2/18/2011,57.83,3.045
2/25/2011,60.8,3.065
3/4/2011,57.77,3.288
3/11/2011,52.7,3.459
3/18/2011,62.32,3.488
3/25/2011,69.42,3.473
4/1/2011,55.43,3.524
4/8/2011,67,3.622
4/15/2011,69.48,3.743
4/22/2011,69.39,3.807
4/29/2011,69.21,3.81
5/6/2011,61.48,3.906
5/13/2011,74.61,3.899
5/20/2011,67.14,3.907
5/27/2011,76.42,3.786
6/3/2011,83.07,3.699
6/10/2011,83.4,3.648
6/17/2011,86.53,3.637
6/24/2011,85.17,3.594
7/1/2011,85.69,3.524
7/8/2011,87.7,3.48
7/15/2011,89.83,3.575
7/22/2011,89.34,3.651
7/29/2011,90.07,3.682
8/5/2011,93.34,3.684
8/12/2011,91.58,3.638
8/19/2011,89.86,3.554
8/26/2011,90.45,3.523
9/2/2011,89.64,3.533
9/9/2011,77.97,3.546
9/16/2011,78.85,3.526
9/23/2011,75.58,3.467
9/30/2011,78.14,3.355
10/7/2011,69.92,3.285
10/14/2011,71.67,3.274
10/21/2011,64.53,3.353
10/28/2011,65.87,3.372
11/4/2011,55.53,3.332
11/11/2011,59.33,3.297
11/18/2011,62.01,3.308
11/25/2011,56.36,3.236
12/2/2011,48.74,3.172
12/9/2011,41.76,3.158
12/16/2011,50.13,3.159
12/23/2011,46.66,3.112
12/30/2011,44.57,3.129
1/6/2012,46.75,3.157
1/13/2012,45.99,3.261
1/20/2012,51.7,3.268
1/27/2012,50.5,3.29
2/3/2012,55.21,3.36
2/10/2012,46.98,3.409
2/17/2012,43.82,3.51
2/24/2012,54.63,3.555
3/2/2012,58.79,3.63
3/9/2012,57.11,3.669
3/16/2012,63.68,3.734
3/23/2012,64.01,3.787
3/30/2012,66.83,3.845
4/6/2012,68.43,3.891
4/13/2012,68.08,3.891
4/20/2012,65.69,3.877
4/27/2012,67.2,3.814
5/4/2012,76.73,3.749
5/11/2012,73.87,3.688
5/18/2012,71.27,3.63
5/25/2012,78.19,3.561
6/1/2012,78.38,3.501
6/8/2012,78.69,3.452
6/15/2012,80.56,3.393
6/22/2012,81.04,3.346
6/29/2012,86.32,3.286
7/6/2012,84.2,3.227
7/13/2012,80.17,3.256
7/20/2012,83.23,3.311
7/27/2012,86.37,3.407
8/3/2012,90.22,3.417
8/10/2012,88.55,3.494
8/17/2012,84.79,3.571
8/24/2012,76.91,3.62
8/31/2012,82.64,3.638
9/7/2012,87.65,3.73
9/14/2012,75.88,3.717
9/21/2012,71.09,3.721
9/28/2012,79.45,3.666
10/5/2012,70.27,3.617
10/12/2012,60.97,3.601
10/19/2012,68.08,3.594
10/26/2012,69.79,3.506
11/2/2012,56.4,3.386
11/9/2012,61.9,3.314
11/16/2012,52.72,3.252
11/23/2012,58.06,3.211
11/30/2012,52.64,3.207
12/7/2012,64.19,3.198
12/14/2012,47.69,3.168
12/21/2012,55.14,3.098
12/28/2012,41.56,3.108
1/4/2013,39.12,3.161
1/11/2013,47.42,3.243
1/18/2013,40.98,3.237
1/25/2013,51.33,3.227
2/1/2013,54.75,3.244
2/8/2013,56.08,3.417
2/15/2013,48.92,3.475
2/22/2013,48.16,3.597
3/1/2013,46.08,3.711
3/8/2013,51.12,3.658
3/15/2013,55.14,3.622
3/22/2013,59.97,3.611
3/29/2013,50.54,3.606
4/5/2013,58.3,3.583
4/12/2013,61.23,3.529
4/19/2013,67.05,3.451
4/26/2013,58.13,3.417
5/3/2013,65.26,3.386
5/10/2013,63.51,3.392
5/17/2013,70.55,3.454
5/24/2013,76.83,3.494
5/31/2013,78.05,3.466
6/7/2013,76.2,3.439
6/14/2013,80.91,3.431
6/21/2013,81.11,3.479
6/28/2013,85.37,3.495
7/5/2013,79.48,3.422
7/12/2013,85.41,3.4
7/19/2013,79.16,3.556
7/26/2013,83.17,3.62
2/5/2010,45.71,2.572
2/12/2010,47.93,2.548
2/19/2010,47.07,2.514
2/26/2010,52.05,2.561
3/5/2010,53.04,2.625
3/12/2010,63.08,2.667
3/19/2010,60.42,2.72
3/26/2010,57.06,2.732
4/2/2010,65.56,2.719
4/9/2010,68,2.77
4/16/2010,66.98,2.808
4/23/2010,67.87,2.795
4/30/2010,70.24,2.78
5/7/2010,73.47,2.835
5/14/2010,77.18,2.854
5/21/2010,75.81,2.826
5/28/2010,78.6,2.759
6/4/2010,78.53,2.705
6/11/2010,82.1,2.668
6/18/2010,83.52,2.637
6/25/2010,83.79,2.653
7/2/2010,82.2,2.669
7/9/2010,81.75,2.642
7/16/2010,84.32,2.623
7/23/2010,83.32,2.608
7/30/2010,82.04,2.64
8/6/2010,85.13,2.627
8/13/2010,86.74,2.692
8/20/2010,88.02,2.664
8/27/2010,86.15,2.619
9/3/2010,84.16,2.577
9/10/2010,80.84,2.565
9/17/2010,82.36,2.582
9/24/2010,76.9,2.624
10/1/2010,73.6,2.603
10/8/2010,66.99,2.633
10/15/2010,69.71,2.72
10/22/2010,71.64,2.725
10/29/2010,72.04,2.716
11/5/2010,62.94,2.689
11/12/2010,62.79,2.728
11/19/2010,57.72,2.771
11/26/2010,68.71,2.735
12/3/2010,53.76,2.708
12/10/2010,51.13,2.843
12/17/2010,52.2,2.869
12/24/2010,57.16,2.886
12/31/2010,53.2,2.943
1/7/2011,53.35,2.976
1/14/2011,44.76,2.983
1/21/2011,50.74,3.016
1/28/2011,48.71,3.01
2/4/2011,45.95,2.989
2/11/2011,43.57,3.022
2/18/2011,61.58,3.045
2/25/2011,67.4,3.065
3/4/2011,65.11,3.288
3/11/2011,61.29,3.459
3/18/2011,69.47,3.488
3/25/2011,72.94,3.473
4/1/2011,68.76,3.524
4/8/2011,72.55,3.622
4/15/2011,75.88,3.743
4/22/2011,76.91,3.807
4/29/2011,78.69,3.81
5/6/2011,69.45,3.906
5/13/2011,79.87,3.899
5/20/2011,75.79,3.907
5/27/2011,84.41,3.786
6/3/2011,84.29,3.699
6/10/2011,84.84,3.648
6/17/2011,86.96,3.637
6/24/2011,84.94,3.594
7/1/2011,85.1,3.524
7/8/2011,85.38,3.48
7/15/2011,87.14,3.575
7/22/2011,86.19,3.651
7/29/2011,88.07,3.682
8/5/2011,88.45,3.684
8/12/2011,88.88,3.638
8/19/2011,88.44,3.554
8/26/2011,87.67,3.523
9/2/2011,89.12,3.533
9/9/2011,81.72,3.546
9/16/2011,83.63,3.526
9/23/2011,80.19,3.467
9/30/2011,82.58,3.355
10/7/2011,75.54,3.285
10/14/2011,73.75,3.274
10/21/2011,69.03,3.353
10/28/2011,71.04,3.372
11/4/2011,59.31,3.332
11/11/2011,61.7,3.297
11/18/2011,63.91,3.308
11/25/2011,68,3.236
12/2/2011,54.97,3.172
12/9/2011,49.26,3.158
12/16/2011,57.95,3.159
12/23/2011,53.41,3.112
12/30/2011,48.29,3.129
1/6/2012,52.42,3.157
1/13/2012,51.86,3.261
1/20/2012,56.2,3.268
1/27/2012,58.06,3.29
2/3/2012,59.33,3.36
2/10/2012,51.65,3.409
2/17/2012,52.39,3.51
2/24/2012,60.12,3.555
3/2/2012,61.65,3.63
3/9/2012,60.71,3.669
3/16/2012,64,3.734
3/23/2012,66.53,3.787
3/30/2012,69.36,3.845
4/6/2012,73.01,3.891
4/13/2012,72.83,3.891
4/20/2012,72.05,3.877
4/27/2012,73.39,3.814
5/4/2012,79.51,3.749
5/11/2012,75.19,3.688
5/18/2012,72.38,3.63
5/25/2012,78.58,3.561
6/1/2012,81.55,3.501
6/8/2012,81.65,3.452
6/15/2012,84.66,3.393
6/22/2012,82.7,3.346
6/29/2012,86.42,3.286
7/6/2012,83.14,3.227
7/13/2012,82.28,3.256
7/20/2012,81.38,3.311
7/27/2012,84.94,3.407
8/3/2012,86.55,3.417
8/10/2012,85.85,3.494
8/17/2012,87.36,3.571
8/24/2012,83.01,3.62
8/31/2012,85.18,3.638
9/7/2012,84.99,3.73
9/14/2012,78.36,3.717
9/21/2012,72.78,3.721
9/28/2012,77.46,3.666
10/5/2012,72.74,3.617
10/12/2012,70.31,3.601
10/19/2012,73.44,3.594
10/26/2012,74.66,3.506
11/2/2012,61.61,3.386
11/9/2012,68.72,3.314
11/16/2012,61.1,3.252
11/23/2012,61.69,3.211
11/30/2012,57.5,3.207
12/7/2012,65.09,3.198
12/14/2012,54.72,3.168
12/21/2012,59.39,3.098
12/28/2012,51.76,3.108
1/4/2013,46.52,3.161
1/11/2013,49.83,3.243
1/18/2013,49.09,3.237
1/25/2013,57.85,3.227
2/1/2013,62.81,3.244
2/8/2013,62.77,3.417
2/15/2013,57.36,3.475
2/22/2013,59.96,3.597
3/1/2013,54.19,3.711
3/8/2013,57.25,3.658
3/15/2013,61.99,3.622
3/22/2013,70.38,3.611
3/29/2013,60.69,3.606
4/5/2013,65.89,3.583
4/12/2013,67.56,3.529
4/19/2013,71.69,3.451
4/26/2013,65.23,3.417
5/3/2013,69.73,3.386
5/10/2013,68.93,3.392
5/17/2013,75.33,3.454
5/24/2013,81.27,3.494
5/31/2013,78.99,3.466
6/7/2013,80.11,3.439
6/14/2013,78.61,3.431
6/21/2013,82.81,3.479
6/28/2013,85.14,3.495
7/5/2013,81.59,3.422
7/12/2013,84.86,3.4
7/19/2013,81.11,3.556
7/26/2013,85.53,3.62
2/5/2010,43.76,2.598
2/12/2010,28.84,2.573
2/19/2010,36.45,2.54
2/26/2010,41.36,2.59
3/5/2010,43.49,2.654
3/12/2010,49.63,2.704
3/19/2010,55.19,2.743
3/26/2010,39.91,2.752
4/2/2010,48.77,2.74
4/9/2010,54.16,2.773
4/16/2010,56.23,2.81
4/23/2010,56.87,2.805
4/30/2010,53.04,2.787
5/7/2010,56.77,2.836
5/14/2010,62.35,2.845
5/21/2010,67.4,2.82
5/28/2010,67.73,2.756
6/4/2010,70.83,2.701
6/11/2010,78.45,2.668
6/18/2010,81.53,2.635
6/25/2010,81.1,2.654
7/2/2010,73.66,2.668
7/9/2010,80.35,2.637
7/16/2010,78.53,2.621
7/23/2010,79.78,2.612
7/30/2010,80.7,2.65
8/6/2010,76.53,2.64
8/13/2010,78.08,2.698
8/20/2010,78.83,2.671
8/27/2010,74.44,2.621
9/3/2010,76.8,2.584
9/10/2010,73.54,2.574
9/17/2010,64.91,2.594
9/24/2010,60.96,2.642
10/1/2010,63.96,2.619
10/8/2010,67.73,2.645
10/15/2010,62.03,2.732
10/22/2010,64.17,2.736
10/29/2010,56.94,2.718
11/5/2010,51.6,2.699
11/12/2010,52.65,2.741
11/19/2010,48.05,2.78
11/26/2010,48.08,2.752
12/3/2010,46.4,2.727
12/10/2010,42.4,2.86
12/17/2010,46.57,2.884
12/24/2010,43.21,2.887
12/31/2010,38.09,2.955
1/7/2011,39.34,2.98
1/14/2011,31.6,2.992
1/21/2011,38.34,3.017
1/28/2011,40.6,3.022
2/4/2011,34.61,2.996
2/11/2011,33.29,3.033
2/18/2011,48.17,3.058
2/25/2011,49,3.087
3/4/2011,46.56,3.305
3/11/2011,50.93,3.461
3/18/2011,51.86,3.495
3/25/2011,59.1,3.48
4/1/2011,56.99,3.521
4/8/2011,62.61,3.605
4/15/2011,62.34,3.724
4/22/2011,68.8,3.781
4/29/2011,64.22,3.781
5/6/2011,63.41,3.866
5/13/2011,70.65,3.872
5/20/2011,70.49,3.881
5/27/2011,73.65,3.771
6/3/2011,78.26,3.683
6/10/2011,80.05,3.64
6/17/2011,83.51,3.618
6/24/2011,81.85,3.57
7/1/2011,84.54,3.504
7/8/2011,84.59,3.469
7/15/2011,83.27,3.563
7/22/2011,82.84,3.627
7/29/2011,84.36,3.659
8/5/2011,86.09,3.662
8/12/2011,82.98,3.617
8/19/2011,82.77,3.55
8/26/2011,81.47,3.523
9/2/2011,77.99,3.533
9/9/2011,73.34,3.554
9/16/2011,72.76,3.532
9/23/2011,69.23,3.473
9/30/2011,72.15,3.371
10/7/2011,65.79,3.299
10/14/2011,63.75,3.283
10/21/2011,64.79,3.361
10/28/2011,55.31,3.362
11/4/2011,49.86,3.322
11/11/2011,47.12,3.286
11/18/2011,50.44,3.294
11/25/2011,47.96,3.225
12/2/2011,38.71,3.176
12/9/2011,31.64,3.153
12/16/2011,36.44,3.149
12/23/2011,35.92,3.103
12/30/2011,36.89,3.119
1/6/2012,38.64,3.158
1/13/2012,34.41,3.263
1/20/2012,42.09,3.273
1/27/2012,40.31,3.29
2/3/2012,41.81,3.354
2/10/2012,33,3.411
2/17/2012,34.19,3.493
2/24/2012,41.31,3.541
3/2/2012,50.38,3.619
3/9/2012,53.63,3.667
3/16/2012,59.81,3.707
3/23/2012,59.07,3.759
3/30/2012,72.63,3.82
4/6/2012,67.69,3.864
4/13/2012,68.69,3.881
4/20/2012,68.6,3.864
4/27/2012,76.47,3.81
5/4/2012,80.14,3.747
5/11/2012,67.64,3.685
5/18/2012,68.43,3.62
5/25/2012,77.47,3.551
6/1/2012,77.41,3.483
6/8/2012,78.11,3.433
6/15/2012,80.94,3.372
6/22/2012,81.63,3.329
6/29/2012,84.23,3.257
7/6/2012,80.37,3.187
7/13/2012,76.86,3.224
7/20/2012,79.14,3.263
7/27/2012,81.06,3.356
8/3/2012,83.86,3.374
8/10/2012,83.21,3.476
8/17/2012,81.41,3.552
8/24/2012,75.76,3.61
8/31/2012,76.47,3.646
9/7/2012,82.09,3.709
9/14/2012,68.2,3.706
9/21/2012,68.97,3.721
9/28/2012,71.74,3.666
10/5/2012,63.07,3.62
10/12/2012,57.11,3.603
10/19/2012,64.46,3.61
10/26/2012,63.64,3.514
11/2/2012,53.31,3.404
11/9/2012,59.47,3.337
11/16/2012,49.86,3.271
11/23/2012,55.09,3.233
11/30/2012,50.91,3.24
12/7/2012,53.67,3.227
12/14/2012,42.57,3.193
12/21/2012,44.8,3.112
12/28/2012,37.93,3.125
1/4/2013,33.11,3.177
1/11/2013,38.92,3.235
1/18/2013,34.06,3.232
1/25/2013,47.49,3.22
2/1/2013,49.07,3.232
2/8/2013,49.86,3.401
2/15/2013,44.7,3.451
2/22/2013,44.68,3.602
3/1/2013,42.56,3.694
3/8/2013,53.21,3.647
3/15/2013,53.39,3.611
3/22/2013,58.55,3.593
3/29/2013,50.36,3.575
4/5/2013,57.7,3.552
4/12/2013,60.06,3.504
4/19/2013,63.28,3.436
4/26/2013,58.15,3.397
5/3/2013,64.18,3.369
5/10/2013,64.01,3.371
5/17/2013,70.5,3.437
5/24/2013,76.73,3.462
5/31/2013,79.17,3.438
6/7/2013,78.11,3.413
6/14/2013,79.24,3.415
6/21/2013,79.1,3.453
6/28/2013,86.29,3.452
7/5/2013,76.96,3.385
7/12/2013,82.3,3.368
7/19/2013,73.29,3.518
7/26/2013,78.96,3.58
2/5/2010,39.7,2.572
2/12/2010,39.81,2.548
2/19/2010,41.14,2.514
2/26/2010,46.7,2.561
3/5/2010,48.89,2.625
3/12/2010,58.5,2.667
3/19/2010,55.46,2.72
3/26/2010,52.47,2.732
4/2/2010,63.18,2.719
4/9/2010,65.19,2.77
4/16/2010,65.3,2.808
4/23/2010,65.13,2.795
4/30/2010,67.53,2.78
5/7/2010,71.53,2.835
5/14/2010,74.79,2.854
5/21/2010,75.2,2.826
5/28/2010,79.81,2.759
6/4/2010,79.54,2.705
6/11/2010,80.7,2.668
6/18/2010,83.91,2.637
6/25/2010,83.72,2.653
7/2/2010,81.25,2.669
7/9/2010,81.14,2.642
7/16/2010,83.98,2.623
7/23/2010,83.66,2.608
7/30/2010,82.46,2.64
8/6/2010,86.1,2.627
8/13/2010,87.41,2.692
8/20/2010,87.71,2.664
8/27/2010,87.05,2.619
9/3/2010,84.06,2.577
9/10/2010,79.86,2.565
9/17/2010,82.28,2.582
9/24/2010,78.53,2.624
10/1/2010,71.1,2.603
10/8/2010,64.99,2.633
10/15/2010,68.11,2.72
10/22/2010,70.96,2.725
10/29/2010,70.58,2.716
11/5/2010,58.88,2.689
11/12/2010,62.37,2.728
11/19/2010,52.52,2.771
11/26/2010,66.15,2.735
12/3/2010,51.31,2.708
12/10/2010,48.27,2.843
12/17/2010,51.61,2.869
12/24/2010,55.01,2.886
12/31/2010,49.79,2.943
1/7/2011,48.3,2.976
1/14/2011,37.74,2.983
1/21/2011,45.41,3.016
1/28/2011,44.5,3.01
2/4/2011,41.67,2.989
2/11/2011,38.25,3.022
2/18/2011,58.83,3.045
2/25/2011,63.35,3.065
3/4/2011,60.35,3.288
3/11/2011,55.74,3.459
3/18/2011,64.31,3.488
3/25/2011,70.71,3.473
4/1/2011,61.5,3.524
4/8/2011,69.64,3.622
4/15/2011,72.02,3.743
4/22/2011,74.34,3.807
4/29/2011,74.75,3.81
5/6/2011,66.27,3.906
5/13/2011,77.38,3.899
5/20/2011,71.37,3.907
5/27/2011,80.14,3.786
6/3/2011,83.81,3.699
6/10/2011,83.61,3.648
6/17/2011,86.84,3.637
6/24/2011,84.76,3.594
7/1/2011,85.81,3.524
7/8/2011,86.64,3.48
7/15/2011,88.64,3.575
7/22/2011,86.97,3.651
7/29/2011,89.42,3.682
8/5/2011,91.07,3.684
8/12/2011,90.16,3.638
8/19/2011,89.35,3.554
8/26/2011,89.18,3.523
9/2/2011,90.38,3.533
9/9/2011,79.04,3.546
9/16/2011,83.55,3.526
9/23/2011,78.01,3.467
9/30/2011,81.16,3.355
10/7/2011,71.64,3.285
10/14/2011,72.36,3.274
10/21/2011,66.9,3.353
10/28/2011,69.27,3.372
11/4/2011,56.71,3.332
11/11/2011,60.71,3.297
11/18/2011,64.33,3.308
11/25/2011,61.93,3.236
12/2/2011,51.14,3.172
12/9/2011,44.12,3.158
12/16/2011,54.42,3.159
12/23/2011,50.33,3.112
12/30/2011,45.62,3.129
1/6/2012,50.21,3.157
1/13/2012,48.86,3.261
1/20/2012,54.65,3.268
1/27/2012,54.63,3.29
2/3/2012,57.35,3.36
2/10/2012,48.57,3.409
2/17/2012,48.25,3.51
2/24/2012,57.75,3.555
3/2/2012,60.66,3.63
3/9/2012,57.69,3.669
3/16/2012,63.55,3.734
3/23/2012,64.44,3.787
3/30/2012,67.76,3.845
4/6/2012,70.4,3.891
4/13/2012,70.56,3.891
4/20/2012,67.33,3.877
4/27/2012,68.96,3.814
5/4/2012,77.1,3.749
5/11/2012,73.45,3.688
5/18/2012,70.45,3.63
5/25/2012,78.23,3.561
6/1/2012,79.72,3.501
6/8/2012,81.02,3.452
6/15/2012,81.64,3.393
6/22/2012,80.57,3.346
6/29/2012,87.08,3.286
7/6/2012,82.35,3.227
7/13/2012,80.78,3.256
7/20/2012,81.05,3.311
7/27/2012,85.06,3.407
8/3/2012,86.91,3.417
8/10/2012,86.96,3.494
8/17/2012,87.52,3.571
8/24/2012,79.45,3.62
8/31/2012,84.25,3.638
9/7/2012,86.3,3.73
9/14/2012,76.65,3.717
9/21/2012,71.09,3.721
9/28/2012,78.33,3.666
10/5/2012,71.17,3.617
10/12/2012,66.24,3.601
10/19/2012,69.17,3.594
10/26/2012,71.7,3.506
11/2/2012,57.83,3.386
11/9/2012,64.61,3.314
11/16/2012,56.89,3.252
11/23/2012,59.07,3.211
11/30/2012,56.2,3.207
12/7/2012,66.13,3.198
12/14/2012,52.44,3.168
12/21/2012,58.63,3.098
12/28/2012,47.47,3.108
1/4/2013,41.77,3.161
1/11/2013,49.5,3.243
1/18/2013,45.08,3.237
1/25/2013,57.05,3.227
2/1/2013,58.99,3.244
2/8/2013,59.05,3.417
2/15/2013,53.09,3.475
2/22/2013,54.1,3.597
3/1/2013,49.47,3.711
3/8/2013,53.16,3.658
3/15/2013,58.01,3.622
3/22/2013,65.96,3.611
3/29/2013,53.25,3.606
4/5/2013,61.88,3.583
4/12/2013,62.36,3.529
4/19/2013,67.43,3.451
4/26/2013,60.44,3.417
5/3/2013,67.55,3.386
5/10/2013,65.52,3.392
5/17/2013,71.38,3.454
5/24/2013,77.84,3.494
5/31/2013,78.26,3.466
6/7/2013,78.4,3.439
6/14/2013,80.76,3.431
6/21/2013,83.85,3.479
6/28/2013,86.09,3.495
7/5/2013,82.06,3.422
7/12/2013,85.75,3.4
7/19/2013,79.73,3.556
7/26/2013,84.16,3.62
2/5/2010,40.43,2.572
2/12/2010,40.57,2.548
2/19/2010,43.58,2.514
2/26/2010,47.1,2.561
3/5/2010,49.63,2.625
3/12/2010,58.82,2.667
3/19/2010,56.55,2.72
3/26/2010,53.74,2.732
4/2/2010,64.94,2.719
4/9/2010,66.15,2.77
4/16/2010,65.68,2.808
4/23/2010,64.11,2.795
4/30/2010,68.91,2.78
5/7/2010,73.68,2.835
5/14/2010,74.95,2.854
5/21/2010,74.8,2.826
5/28/2010,78.89,2.759
6/4/2010,79.44,2.705
6/11/2010,81.81,2.668
6/18/2010,83.89,2.637
6/25/2010,84.2,2.653
7/2/2010,80.34,2.669
